ID,banco,compra,venta,fecha,fecha_descarga
1,bbva,244.31,259.29,2023/06/10 19:47:22,2023-06-10 18:00:00
2,piano,No cotiza,258.70,2023/06/10 19:47:22,2023-06-10 18:00:00
3,hipotecario,241.20,252.20,2023/06/10 19:47:23,2023-06-10 18:00:00
4,galicia,No cotiza,No cotiza,2023/06/10 19:47:24,2023-06-10 18:00:00
5,santander,241.98,257.23,2023/06/10 19:47:25,2023-06-10 18:00:00
6,ciudad,241.00,254.00,2023/06/10 19:47:26,2023-06-10 18:00:00
7,supervielle,245.00,258.00,2023/06/10 19:47:26,2023-06-10 18:00:00
8,patagonia,245.00,257.00,2023/06/10 19:47:27,2023-06-10 18:00:00
9,comafi,242.49,251.58,2023/06/10 19:47:28,2023-06-10 18:00:00
10,nacion,241.00,254.00,2023/06/10 19:47:29,2023-06-10 18:00:00
11,bind,No cotiza,No cotiza,2023/06/10 19:47:30,2023-06-10 18:00:00
12,bancor,242.00,255.00,2023/06/10 19:47:30,2023-06-10 18:00:00
13,chaco,241.00,259.08,2023/06/10 19:47:31,2023-06-10 18:00:00
14,pampa,244.00,253.80,2023/06/10 19:47:32,2023-06-10 18:00:00
