ID,banco,compra,venta,fecha,fecha_descarga
1,bbva,244.31,259.29,2023/06/10 22:00:10,2023-06-10 21:00:00
2,piano,No cotiza,258.70,2023/06/10 22:00:11,2023-06-10 21:00:00
3,hipotecario,241.20,252.20,2023/06/10 22:00:12,2023-06-10 21:00:00
4,galicia,No cotiza,No cotiza,2023/06/10 22:00:13,2023-06-10 21:00:00
5,santander,241.98,257.23,2023/06/10 22:00:14,2023-06-10 21:00:00
6,ciudad,241.00,254.00,2023/06/10 22:00:15,2023-06-10 21:00:00
7,supervielle,245.00,258.00,2023/06/10 22:00:16,2023-06-10 21:00:00
8,patagonia,245.00,257.00,2023/06/10 22:00:17,2023-06-10 21:00:00
9,comafi,242.49,251.58,2023/06/10 22:00:18,2023-06-10 21:00:00
10,nacion,241.00,254.00,2023/06/10 22:00:19,2023-06-10 21:00:00
11,bind,No cotiza,No cotiza,2023/06/10 22:00:21,2023-06-10 21:00:00
12,bancor,242.00,255.00,2023/06/10 22:00:22,2023-06-10 21:00:00
13,chaco,241.00,259.08,2023/06/10 22:00:22,2023-06-10 21:00:00
14,pampa,244.00,253.80,2023/06/10 22:00:23,2023-06-10 21:00:00
